userId,movieId,rating,timestamp
2,62,3.0,835355749
2,110,4.0,835355532
2,144,3.0,835356016
2,150,5.0,835355395
2,153,4.0,835355441
2,161,3.0,835355493
2,165,3.0,835355441
2,168,3.0,835355710
2,185,3.0,835355511
2,186,3.0,835355664
2,223,1.0,835355749
2,235,3.0,835355664
2,253,4.0,835355511
2,261,4.0,835355681
2,266,5.0,835355586
2,272,3.0,835355767
2,296,4.0,835355395
2,300,3.0,835355532
2,314,4.0,835356044
2,319,1.0,835355918
2,339,3.0,835355492
2,350,4.0,835355697
2,364,3.0,835355604
2,377,3.0,835355710
2,405,2.0,835356246
2,454,4.0,835355604
2,468,4.0,835355790
2,497,3.0,835355880
2,500,4.0,835355731
2,508,4.0,835355860
2,509,4.0,835355719
2,539,3.0,835355767
2,550,3.0,835356109
2,551,5.0,835355767
2,585,5.0,835355817
2,586,3.0,835355790
2,587,3.0,835355779
2,588,3.0,835355441
2,590,5.0,835355395
2,592,5.0,835355395
2,593,3.0,835355511
2,616,3.0,835355932
4,141,5.0,949919681
4,153,4.0,949811346
4,173,3.0,949811346
4,185,3.0,949920047
4,260,5.0,949779042
4,289,4.0,949778802
4,296,5.0,949895708
4,329,3.0,949810618
4,364,5.0,949949538
4,380,3.0,949810534
4,431,3.0,949895772
4,435,1.0,949920135
4,440,4.0,949919802
4,588,5.0,949949486
4,590,3.0,949810534
4,594,5.0,949949538
4,596,5.0,949949638
4,616,5.0,949949444
4,858,5.0,949779022
4,903,5.0,949919189
4,910,4.0,949919306
4,913,5.0,949919247
4,1073,5.0,949919372
4,1089,5.0,949895732
4,1125,5.0,949919399
4,1213,5.0,949895708
4,1257,5.0,949811602
4,1259,4.0,949811559
4,1265,5.0,949919591
4,1278,5.0,949919372
4,1371,4.0,949810302
4,1372,3.0,949920004
4,1374,4.0,949918787
4,1396,5.0,949895772
4,1544,3.0,949811230
4,1580,5.0,949919978
4,1858,5.0,949919738
4,1954,5.0,949810261
4,2000,5.0,949811602
4,2005,5.0,949896070
4,2018,5.0,949778771
4,2034,4.0,949896183
4,2046,5.0,949810618
4,2064,5.0,949918648
4,2080,5.0,949919306
4,2085,5.0,949949444
4,2086,5.0,949896114
4,2100,5.0,949896114
4,2105,4.0,949896114
4,2109,5.0,949919399
4,2110,3.0,949896309
4,2114,5.0,949918927
4,2140,5.0,949896070
4,2268,5.0,949895772
4,2289,5.0,949919556
4,2454,5.0,949982274
4,2616,1.0,949895993
4,2640,5.0,949810261
4,2770,1.0,949896521
4,2788,5.0,949919399
4,2791,5.0,949811490
4,3034,5.0,949949444
4,3040,5.0,949919419
5,104,4.0,1163374639
5,141,4.0,1163374242
5,150,4.0,1163374404
5,231,3.5,1163373762
5,277,4.5,1163373208
5,364,4.0,1163373752
5,377,4.0,1163373610
5,440,4.0,1163374477
5,500,4.5,1163373718
5,586,4.0,1163374392
5,588,3.5,1163373551
5,595,4.0,1163374190
5,597,5.0,1163373711
5,788,3.5,1163374993
5,858,2.5,1163373651
5,903,3.5,1163373135
5,1247,4.0,1163374582
5,1544,3.5,1163374562
5,1777,4.0,1163374601
5,1923,4.5,1163373726
5,1997,3.5,1163374593
5,2023,1.5,1163373188
5,2294,4.0,1163373251
5,2355,3.5,1163374184
5,2502,3.5,1163374290
5,2770,3.5,1163374947
5,3114,3.5,1163374263
5,3176,3.5,1163374408
5,4995,4.5,1163373616
7,104,3.0,851866744
7,110,5.0,851868188
7,141,4.0,851866704
7,207,3.0,851868705
7,260,5.0,851869062
7,272,3.0,851868188
7,329,3.0,851868524
7,345,3.0,851867621
7,364,3.0,851868020
7,377,3.0,851869291
7,380,4.0,851869291
7,500,3.0,851867669
7,534,4.0,851868246
